% Model,Trumpet6.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 9 2023, 19:43"
% Dimension,1
% Nodes,256
% Expressions,1
% Description,Global
% freq (Hz),|Z_in Tube_Bell|
50,29.14343120978131
54.509803921568626,30.3177753858829
59.01960784313725,31.790136898147935
63.529411764705884,33.88088516640762
68.0392156862745,37.836589491061495
72.54901960784314,41.1494598486822
77.05882352941177,34.953959072000075
81.56862745098039,32.449219104696645
86.07843137254902,30.807523043122206
90.58823529411765,29.54571131159497
95.09803921568627,28.4858576106609
99.6078431372549,27.53944335114308
104.11764705882354,26.652513772460612
108.62745098039215,25.785504564142556
113.13725490196079,24.903149475984762
117.6470588235294,23.966891517661566
122.15686274509804,22.925398388733434
126.66666666666667,21.696418341900735
131.1764705882353,20.11931424793405
135.68627450980392,17.77892445828882
140.19607843137254,12.64021751083236
144.70588235294116,13.591750282536692
149.2156862745098,18.099436690268988
153.72549019607843,20.317066719203925
158.23529411764707,21.843844945383882
162.7450980392157,23.046936994582037
167.2549019607843,24.074041928726345
171.76470588235293,25.002613397879017
176.27450980392157,25.88198639284508
180.7843137254902,26.750018106079164
185.2941176470588,27.64214438874781
189.80392156862746,28.599049939998803
194.31372549019608,29.677439093322477
198.8235294117647,30.972414959379655
203.33333333333334,32.68058710533322
207.84313725490196,35.36381764884361
212.35294117647058,43.17953043598723
216.86274509803923,37.12881338943659
221.37254901960785,33.57138964459223
225.88235294117646,31.58499705344065
230.39215686274508,30.15859053068594
234.90196078431373,29.00833061758543
239.41176470588235,28.010731939845787
243.92156862745097,27.09762506261407
248.4313725490196,26.223546563990112
252.94117647058823,25.351864521362423
257.45098039215685,24.44645455348651
261.9607843137255,23.46366441040509
266.47058823529414,22.339657353622847
270.98039215686276,20.961866009652557
275.4901960784314,19.08131302503445
280,15.883899640659074
284.5098039215686,4.210243705876566
289.01960784313724,16.44251407849663
293.52941176470586,19.366624769200335
298.0392156862745,21.159306359515476
302.54901960784315,22.495838358876323
307.05882352941177,23.5976702916355
311.5686274509804,24.568400696674054
316.078431372549,25.4682882122122
320.5882352941176,26.33957399323949
325.0980392156863,27.21818252742135
329.6078431372549,28.14161138785849
334.11764705882354,29.157722894729623
338.62745098039215,30.34026260729047
343.1372549019608,31.827004683253797
347.6470588235294,33.94983738684586
352.156862745098,38.0360561229325
356.6666666666667,40.692232810001855
361.1764705882353,34.82244006489448
365.6862745098039,32.36268884221562
370.19607843137254,30.737489499371545
374.70588235294116,29.48301488602068
379.2156862745098,28.42604922655122
383.72549019607845,27.479645476005615
388.2352941176471,26.590333433402282
392.7450980392157,25.718457747570508
397.2549019607843,24.82814934711599
401.7647058823529,23.879516062026752
406.27450980392155,22.818467993498103
410.78431372549016,21.55656474538903
415.29411764705884,19.916418036063344
